subj	task_num	task	trial_num	scene	obj	obj_type	conf	rk_judg	rt_conf	rt_rkj
16	1	Memorization	1	Bedroom	Tie	New (Lure)	1	New	3.072570100426674	n/a
16	1	Memorization	2	Kitchen A	Child's drawing	Distractor	2	New	3.870528199709952	n/a
16	1	Memorization	3	Bathroom	Spotlight	New (Lure)	1	New	2.5319617995992303	n/a
16	1	Memorization	4	Kitchen	Place setting	New (Lure)	4	Know	4.405879400670528	2.0319745000451803
16	1	Memorization	5	Office	Hard drive	New (Lure)	2	New	1.2762899994850159	n/a
16	1	Memorization	6	Office	Typewriter	New (Lure)	1	New	1.1028730999678373	n/a
16	1	Memorization	7	Bedroom A	Stool	Distractor	3	New	1.0888481000438333	n/a
16	1	Memorization	8	Living room B	Mug	Target	2	New	1.3098107995465398	n/a
16	1	Memorization	9	Kitchen	Electric kettle	New (Lure)	4	Know	3.1871541999280453	0.8558905003592372
16	1	Memorization	10	Bedroom	Eiffel tower	New (Lure)	2	New	1.832735799252987	n/a
16	1	Memorization	11	Bedroom A	Hand fan	Target	6	Remember	1.653298799879849	1.3598770992830396
16	1	Memorization	12	Bedroom A	Handbag	Target	2	New	2.2368333004415035	n/a
16	1	Memorization	13	Bedroom	Glasses	New (Lure)	1	New	1.2066964004188776	n/a
16	1	Memorization	14	Bedroom A	Jewelry	Distractor	2	New	1.749192200601101	n/a
16	1	Memorization	15	Office B	Computer screen	Target	3	New	1.278561799786985	n/a
16	1	Memorization	16	Bathroom A	Toothbrushes	Target	5	Remember	3.146319600753486	1.6638394007459283
16	1	Memorization	17	Bedroom	Toy train	New (Lure)	2	New	1.5894427997991443	n/a
16	1	Memorization	18	Bathroom A	Hair dryer	Target	4	Know	1.3141248002648354	1.1597600998356938
16	1	Memorization	19	Bedroom A	Clothes hanger	Target	6	Remember	1.9890598002821207	1.3359166998416185
16	1	Memorization	20	Bathroom A	Towel hook	Distractor	2	New	0.92501650005579	n/a
16	1	Memorization	21	Kitchen A	Pizza leftovers	Target	6	Remember	0.7150659998878837	1.2399193001911044
16	1	Memorization	22	Living room	Roses	New (Lure)	2	New	3.34853530023247	n/a
16	1	Memorization	23	Office B	Printer	Target	5	Remember	2.392399400472641	1.1358767999336123
16	1	Memorization	24	Bedroom	Decorative wood	New (Lure)	2	New	0.7980852006003261	n/a
16	1	Memorization	25	Living room	Toy bricks	New (Lure)	2	New	1.4280552994459867	n/a
16	1	Memorization	26	Living room B	Flowers	Target	1	New	3.4024004004895687	n/a
16	1	Memorization	27	Living room	Christmas stocking	New (Lure)	1	New	0.818856100551784	n/a
16	1	Memorization	28	Office	Seat cushion	New (Lure)	2	New	1.9633715003728867	n/a
16	1	Memorization	29	Office B	Globe	Target	4	Remember	3.1380265997722745	1.2319617001339793
16	1	Memorization	30	Office B	CD	Target	6	Remember	0.6638350002467632	2.0239094998687506
16	1	Memorization	31	Bedroom	Decorative heads	New (Lure)	1	New	2.7233064994215965	n/a
16	1	Memorization	32	Kitchen	Cutting board	New (Lure)	4	Know	2.680376200005412	1.1518390998244286
16	1	Memorization	33	Living room B	Lavalamp	Distractor	5	Know	2.0543563002720475	0.960003299638629
16	1	Memorization	34	Bedroom	Teddy bear	New (Lure)	3	New	2.3397272992879152	n/a
16	1	Memorization	35	Living room B	Painting	Target	5	Remember	2.5473653003573418	0.6798884002491832
16	1	Memorization	36	Bedroom A	Tissue box	Distractor	2	New	3.036305299960077	n/a
16	1	Memorization	37	Bathroom	Perfume	New (Lure)	1	New	1.8199329003691673	n/a
16	1	Memorization	38	Living room B	Cigarettes	Target	6	Remember	1.7090360997244716	1.5519460998475552
16	1	Memorization	39	Bathroom	Round box	New (Lure)	4	Know	2.988964100368321	0.8880007993429899
16	1	Memorization	40	Kitchen A	Deep fryer	Distractor	3	New	7.13280660007149	n/a
16	1	Memorization	41	Living room B	Laptop	Target	4	Know	4.035066399723291	1.1839793995022774
16	1	Memorization	42	Office B	Paper racks	Target	6	Remember	1.158054200001061	1.1439260998740792
16	1	Memorization	43	Living room B	Record player	Target	5	Remember	1.5984226996079087	1.3038999997079372
16	1	Memorization	44	Office B	Computer mouse	Distractor	4	Know	4.796881100162864	1.7837947001680732
16	1	Memorization	45	Bedroom	Playmat	New (Lure)	2	New	2.192952999845147	n/a
16	1	Memorization	46	Kitchen A	Baby bottles	Target	6	Remember	1.3480062996968627	1.3199833994731307
16	1	Memorization	47	Kitchen A	Cheese grater	Target	5	Remember	2.7169688995927572	1.0558185996487737
16	1	Memorization	48	Office B	Magnifying glass	Distractor	2	New	0.9239616999402642	n/a
16	1	Memorization	49	Kitchen	Chocolates	New (Lure)	1	New	1.3658354002982378	n/a
16	1	Memorization	50	Office B	Letter holder	Distractor	1	New	1.700993100181222	n/a
16	1	Memorization	51	Kitchen A	Dish rack	Target	3	New	2.2288942001760006	n/a
16	1	Memorization	52	Office B	Parcel	Target	5	Remember	2.7078110994771123	0.9599511995911598
16	1	Memorization	53	Living room B	Cactus	Target	4	Know	6.377863300032914	2.511916999705136
